simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
particle-lenia,191,300,"{""mu_k"": 4.217350416325631, ""sigma_k"": 1.3815929072608766, ""w_k"": 0.030045329114880975, ""c_rep"": 0.974645660143183, ""mu_g"": 0.5683474314604048, ""sigma_g"": 0.2322726576286377, ""dt"": 0.13596221563741, ""point_n"": 64}",-0.3540528,0.14728115,100.27874387361516,nan,2.0016672611236572
particle-lenia,192,300,"{""mu_k"": 4.16410602878052, ""sigma_k"": 1.3448689160587524, ""w_k"": 0.016026682567529968, ""c_rep"": 0.9790548281230309, ""mu_g"": 0.6472050200877996, ""sigma_g"": 0.14657782788454654, ""dt"": 0.1450278389130727, ""point_n"": 64}",0.43626297,0.15673845,62.936008636981654,nan,1.9865870475769043
particle-lenia,193,300,"{""mu_k"": 3.611933930101495, ""sigma_k"": 1.3611586506499702, ""w_k"": 0.02406490814299289, ""c_rep"": 0.8164866478942301, ""mu_g"": 0.7471443718989597, ""sigma_g"": 0.11762890495704734, ""dt"": 0.14300655043568744, ""point_n"": 100}",-0.055097777,0.16578993,50.122792242530146,nan,4.875406503677368
particle-lenia,194,300,"{""mu_k"": 4.589551662263363, ""sigma_k"": 0.7937731405582714, ""w_k"": 0.018801863004162252, ""c_rep"": 1.4210503464124002, ""mu_g"": 0.7062940892513692, ""sigma_g"": 0.21256138143696637, ""dt"": 0.1111477047890772, ""point_n"": 100}",0.59733677,0.16659679,98.35623344637949,nan,4.927128314971924
particle-lenia,195,300,"{""mu_k"": 3.7102827333451764, ""sigma_k"": 0.797684033461869, ""w_k"": 0.025215187964723405, ""c_rep"": 0.9940287983708027, ""mu_g"": 0.4143002072560769, ""sigma_g"": 0.11531601206044179, ""dt"": 0.06231570113616258, ""point_n"": 64}",0.023587719,0.1534379,80.10347228820319,nan,2.023357391357422
particle-lenia,196,300,"{""mu_k"": 3.1278279805289486, ""sigma_k"": 0.643627800372764, ""w_k"": 0.012429820465418412, ""c_rep"": 1.2839733388574825, ""mu_g"": 0.7302550010039777, ""sigma_g"": 0.1392984561627878, ""dt"": 0.09404541862723778, ""point_n"": 150}",0.65013015,0.1338796,159.4709838571558,nan,11.20578384399414
particle-lenia,197,300,"{""mu_k"": 3.2189594170454505, ""sigma_k"": 0.6673515782068387, ""w_k"": 0.020123498643525868, ""c_rep"": 0.8519455129567471, ""mu_g"": 0.469684552016126, ""sigma_g"": 0.225872745736267, ""dt"": 0.10580540445682896, ""point_n"": 150}",-0.32067257,0.15545629,84.73688416750278,nan,11.175047159194946
particle-lenia,198,300,"{""mu_k"": 4.854064354629951, ""sigma_k"": 0.6371863546106553, ""w_k"": 0.028454507475905673, ""c_rep"": 1.0091082578422668, ""mu_g"": 0.7159392401701096, ""sigma_g"": 0.1514949731888667, ""dt"": 0.06886139274401763, ""point_n"": 150}",0.12638313,0.15052529,114.12617692581114,nan,11.170884370803833
particle-lenia,199,300,"{""mu_k"": 4.384277380542013, ""sigma_k"": 0.6750727947582577, ""w_k"": 0.03509247670888685, ""c_rep"": 0.9051296732868336, ""mu_g"": 0.49229039186385454, ""sigma_g"": 0.23706393806663023, ""dt"": 0.13846716188685892, ""point_n"": 150}",-0.3482084,0.114071175,404.5525327508479,nan,11.044747114181519
particle-lenia,200,300,"{""mu_k"": 3.9305637618576084, ""sigma_k"": 0.724810584969095, ""w_k"": 0.014658546642526811, ""c_rep"": 1.4963577618073423, ""mu_g"": 0.5093971342801897, ""sigma_g"": 0.19583027710287781, ""dt"": 0.08943854711427511, ""point_n"": 200}",0.2654621,0.13802336,126.10677665736182,nan,19.571423768997192
particle-lenia,201,300,"{""mu_k"": 3.8776622091480215, ""sigma_k"": 1.0866316456798721, ""w_k"": 0.02796974882956238, ""c_rep"": 1.2934505186672762, ""mu_g"": 0.7962508924914486, ""sigma_g"": 0.20181067942977504, ""dt"": 0.13744724330389624, ""point_n"": 200}",0.15606724,0.124565534,218.20775975108523,nan,19.59403109550476
particle-lenia,202,300,"{""mu_k"": 4.3160554683464385, ""sigma_k"": 0.6377197833026794, ""w_k"": 0.03395262192803764, ""c_rep"": 1.026446864482561, ""mu_g"": 0.5443231702758355, ""sigma_g"": 0.16183034091798848, ""dt"": 0.1258184505746196, ""point_n"": 100}",-0.22228687,0.14081156,127.1139285378125,nan,4.8149049282073975
particle-lenia,203,300,"{""mu_k"": 4.728139228389979, ""sigma_k"": 1.1680432034475468, ""w_k"": 0.037420884640380646, ""c_rep"": 1.1805264362177652, ""mu_g"": 0.5378020356200007, ""sigma_g"": 0.21028749966866964, ""dt"": 0.1426377848268215, ""point_n"": 100}",-0.12282413,0.114773,361.9210861121919,nan,4.899405241012573
particle-lenia,204,300,"{""mu_k"": 4.3529039503289235, ""sigma_k"": 0.6895040992621675, ""w_k"": 0.02838497329208848, ""c_rep"": 0.8321514862498871, ""mu_g"": 0.502491949888251, ""sigma_g"": 0.18545934353202928, ""dt"": 0.14927546312377005, ""point_n"": 64}",-0.29576257,0.17129922,48.08973886530506,nan,2.0486643314361572
particle-lenia,205,300,"{""mu_k"": 4.361079713115629, ""sigma_k"": 0.734421392343534, ""w_k"": 0.02218568750321325, ""c_rep"": 1.3968593629376564, ""mu_g"": 0.4707099805863556, ""sigma_g"": 0.20753321936600025, ""dt"": 0.09566506770027987, ""point_n"": 200}",-0.07553797,0.11624526,377.3254689755189,nan,19.719292402267456
particle-lenia,206,300,"{""mu_k"": 4.88162202413911, ""sigma_k"": 0.6986731381744598, ""w_k"": 0.03708641858047443, ""c_rep"": 0.8885914436149157, ""mu_g"": 0.7070617843320328, ""sigma_g"": 0.2255167541203353, ""dt"": 0.05069114652768839, ""point_n"": 100}",-0.1991291,0.13622256,135.46992027596076,nan,4.809531211853027
particle-lenia,207,300,"{""mu_k"": 3.1823827713416946, ""sigma_k"": 1.1256378205045665, ""w_k"": 0.017978974546294657, ""c_rep"": 1.251255712129748, ""mu_g"": 0.5571943433491435, ""sigma_g"": 0.16866905794177772, ""dt"": 0.11540841944543079, ""point_n"": 64}",0.54669356,0.14928804,108.88370783949772,nan,1.9475860595703125
particle-lenia,208,300,"{""mu_k"": 3.0864871285247863, ""sigma_k"": 0.828406809432109, ""w_k"": 0.038192402883735516, ""c_rep"": 0.9418111564719791, ""mu_g"": 0.4058889837710462, ""sigma_g"": 0.18548161524422258, ""dt"": 0.08326872176968345, ""point_n"": 150}",-0.06509718,0.11787371,304.5103931785064,nan,10.953614950180054
particle-lenia,209,300,"{""mu_k"": 3.733421518903042, ""sigma_k"": 1.2334304277656214, ""w_k"": 0.029197351561404294, ""c_rep"": 1.4453597246153542, ""mu_g"": 0.5971850713410651, ""sigma_g"": 0.15862276040490142, ""dt"": 0.12319837840098699, ""point_n"": 64}",0.12128362,0.15729739,59.294178903380306,nan,2.0309643745422363
particle-lenia,210,300,"{""mu_k"": 3.833469830329224, ""sigma_k"": 1.0100842985831255, ""w_k"": 0.012630325993069343, ""c_rep"": 1.0869069862372425, ""mu_g"": 0.5106631732557004, ""sigma_g"": 0.18223233953989837, ""dt"": 0.14849533875643017, ""point_n"": 100}",0.15739508,0.19152437,28.371146456694568,nan,4.8010032176971436
particle-lenia,211,300,"{""mu_k"": 3.1299354096082874, ""sigma_k"": 0.8934240058298811, ""w_k"": 0.016182866523006666, ""c_rep"": 0.9604204297837364, ""mu_g"": 0.5477346499582115, ""sigma_g"": 0.10752975758997223, ""dt"": 0.12102156833991086, ""point_n"": 150}",0.19158721,0.15441152,89.02589044615422,nan,11.041699409484863
particle-lenia,212,300,"{""mu_k"": 3.7149971431537816, ""sigma_k"": 0.6903997075838578, ""w_k"": 0.033635891684101395, ""c_rep"": 1.147921484838699, ""mu_g"": 0.6572547880153239, ""sigma_g"": 0.2063546257380549, ""dt"": 0.14482909759905638, ""point_n"": 100}",-0.05503999,0.15981053,75.04911896263337,nan,4.9021687507629395
particle-lenia,213,300,"{""mu_k"": 4.9033122330169405, ""sigma_k"": 0.8001630419766046, ""w_k"": 0.02835179491119983, ""c_rep"": 0.896063193252203, ""mu_g"": 0.4304347577773287, ""sigma_g"": 0.1425605657228933, ""dt"": 0.06413605565353582, ""point_n"": 150}",-0.083299614,0.11027714,314.2641089010362,nan,10.86078143119812
particle-lenia,214,300,"{""mu_k"": 3.6385279759102263, ""sigma_k"": 0.8869547188756887, ""w_k"": 0.03632720449747762, ""c_rep"": 1.152585623510212, ""mu_g"": 0.6309979053515544, ""sigma_g"": 0.13605806231902984, ""dt"": 0.05967996069579157, ""point_n"": 100}",-0.099469036,0.13805635,125.14212494225404,nan,4.917490720748901
particle-lenia,215,300,"{""mu_k"": 4.8653188289596, ""sigma_k"": 0.8220517012378327, ""w_k"": 0.03613523740867513, ""c_rep"": 0.8745245386223535, ""mu_g"": 0.6988874866325876, ""sigma_g"": 0.17722001061656312, ""dt"": 0.12670117903128553, ""point_n"": 100}",-0.2581595,0.13813658,162.25928106354667,nan,4.849853277206421
particle-lenia,216,300,"{""mu_k"": 3.767688479410893, ""sigma_k"": 0.8488103620133036, ""w_k"": 0.017205012041702453, ""c_rep"": 1.3349477139347352, ""mu_g"": 0.7904749899186778, ""sigma_g"": 0.2111627029514117, ""dt"": 0.09035086276135264, ""point_n"": 200}",0.41948363,0.149271,89.10759814665626,nan,19.567907333374023
